NO,폐교명,주소,위도,경도,건물규모,토지규모,총 금액,현재 상태,음식점 수,편의점 수,카페 수,병원 수,주유소 수,숙박시설 수,음식점 점수,편의점 점수,카페 점수,병원 점수,주유소 점수,숙박시설 점수,총 점수,점수 순위
67,대서초안남분교장,전라남도 고흥군 대서면 안남리 626,34.7497724,127.2709794,1992.45,13776,250030,미활용,6,0,0,0,0,2,64,1,1,1,1,32,100,90
68,금산종합고등학교,전라남도 고흥군 금산면 대흥리 1176,34.466798,127.1300601,3404.2,26456,1590406,대부,27,2,3,0,2,9,97,94,77,1,88,91,448,28
69,화계초여주분교장,전라남도 고흥군 점암면 여호리 244,34.6512921,127.4458603,0,6315,27896,미활용,0,0,0,0,0,3,1,1,1,1,1,50,55,99
70,노동초금호분교장,전라남도 보성군 노동면 금호리 598,34.800759,127.0270834,588,9808,162186,미활용,2,0,0,0,0,2,36,1,1,1,1,32,72,96
71,겸백초은덕분교장,전라남도 보성군 겸백면 은덕리 19,34.8536266,127.1469591,692,12132,189617,미활용,3,0,2,0,0,0,47,1,62,1,1,1,113,87
72,득량서초등학교,전라남도 보성군 득량면 마천리 743-1,34.7520937,127.1459071,543,15629,171090,미활용,13,0,2,0,2,0,83,1,62,1,88,1,236,59
73,장암초등학교,전라남도 보성군 벌교읍 장암리 710-1,34.8051222,127.4041032,799,7768,202826,미활용,0,0,1,0,0,5,1,1,47,1,1,72,123,84
74,노동초학동분교장,전라남도 보성군 노동면 학동리 501,34.8331135,127.0721363,875,13055,267239,미활용,2,0,1,0,0,3,36,1,47,1,1,50,136,77
75,영등초등학교,전라남도 보성군 벌교읍 영등리 726,34.8091519,127.3774944,0,20929.5,133616,미활용,2,0,0,0,0,4,36,1,1,1,1,62,102,89
76,회천동초등학교,전라남도 보성군 회천면 서당리 659,34.7045926,127.1348867,951.29,92561,383798,미활용,1,0,0,0,1,3,15,1,1,1,68,50,136,77
77,벌교초제석분교장,전라남도 보성군 벌교읍 장양리 793,34.846909,127.3645746,1126,13922,395236,미활용,194,11,32,18,10,16,119,118,118,120,121,104,700,3
78,회천서초등학교,전라남도 보성군 회천면 회령리 514,34.6713879,127.0637331,1830.76,16070.8,1431083,미활용,51,2,8,0,3,29,113,94,102,1,102,113,525,21
79,벌교초장도분교장,전라남도 보성군 벌교읍 장도리 354,34.7910857,127.4554567,1017,8712,239345,미활용,1,0,0,0,0,0,15,1,1,1,1,1,20,116
80,아산초서유분교장,전라남도 화순군 백아면 서유리 526,35.1731031,127.0922181,1180.28,10344,248646,미활용,11,1,0,0,1,6,78,73,1,1,68,77,298,49
81,동면초경복분교장,전라남도 화순군 동면 복암리 166,35.0527649,127.0863663,1713.27,9840,293497,미활용,3,0,2,0,1,2,47,1,62,1,68,32,211,60
82,화순오성초주도분교장,전라남도 화순군 화순읍 주도리 20,35.0330097,126.9373571,444.8,8403,194341,대부,47,3,23,2,8,13,108,104,115,99,119,99,644,7
83,천태초봉하분교장,전라남도 화순군 도암면 봉하리 200,34.8864172,126.860109,273,8967,40681,대부,7,0,0,0,1,0,68,1,1,1,68,1,140,75
84,동복초가수분교장,전라남도 화순군 동복면 가수리 861,35.09987,127.1423177,843.7,5506,159194,미활용,0,0,0,0,0,2,1,1,1,1,1,32,37,111
85,아산초노치분교장,전라남도 화순군 백아면 노치리 272,35.1460685,127.174314,106,3309,53011,미활용,5,0,0,0,0,5,57,1,1,1,1,72,133,80
86,동면초옥호분교장,전라남도 화순군 동면 옥호리 338,34.9992251,127.0178152,289.08,3465,65068,미활용,2,0,4,0,0,1,36,1,89,1,1,19,147,74
87,아산초송방분교장,전라남도 화순군 백아면 방리 385,35.1897903,127.1690599,834.9,6963,107067,미활용,1,0,1,0,0,2,15,1,47,1,1,32,97,91
88,청풍초신석분교장,전라남도 화순군 청풍면 신석리 457,34.8559806,126.9406228,164.9,4925,49860,미활용,2,0,0,0,0,2,36,1,1,1,1,32,72,96
89,관산초영성분교장,"전라남도 장흥군 관산읍 죽청리 420-1,418-1, 418-3,418-4",34.5802354,126.9673692,1250,14108,315135,미활용,10,0,0,0,2,0,75,1,1,1,88,1,167,68
90,강진북초등학교,전라남도 강진군 강진읍 서산리 252-10,34.641568,126.7339192,2346.4,20534,1487887,미활용,50,2,11,3,6,3,111,94,107,106,113,50,581,14
91,군곡초등학교,전라남도 해남군 송지면 군곡리 435,34.4116331,126.5307407,1938.46,18874,737299,미활용,1,0,0,0,1,0,15,1,1,1,68,1,87,95
92,화원초화봉분교장,전라남도 해남군 화원면 화봉리 226,34.6683144,126.2691306,43,19070,169894,미활용,0,1,0,0,0,3,1,73,1,1,1,50,127,82
93,서호북초등학교,전라남도 영암군 서호면 성재리 1058,34.7961453,126.5798958,873.2,17616,168551,대부,0,0,1,0,0,0,1,1,47,1,1,1,52,102
94,신북초신북서분교장,전라남도 영암군 신북면 학동리 468,34.9287008,126.6790091,809.44,20139,238267,대부,6,1,2,0,1,4,64,73,62,1,68,62,330,43
95,시종초종남분교장,전라남도 영암군 시종면 금지리 1078,34.8984217,126.6085955,2182.91,30587,616389,대부,0,0,0,0,0,0,1,1,1,1,1,1,6,119
96,도포초도신분교장,전라남도 영암군 도포면 영호리 194,34.8651033,126.6537301,584.87,12745,117948,대부,5,0,0,0,1,0,57,1,1,1,68,1,129,81
97,금정초한대분교장,전라남도 영암군 영암읍 한대리 2,34.8032313,126.7977807,378,4640,51330,미활용,2,0,0,0,0,0,36,1,1,1,1,1,41,107
98,금정초청룡분교장,전라남도 영암군 금정면 청용리 899,34.8625401,126.8268197,608.78,50310,123380,미활용,0,0,0,0,0,0,1,1,1,1,1,1,6,119
99,도포초영농분교장,전라남도 영암군 도포면 영호리 919-10,34.8713217,126.6474441,274.3,1833,107525,미활용,6,0,0,0,0,0,64,1,1,1,1,1,69,98
100,영암미암중학교,전라남도 영암군 미암면 남신리 239-1,34.6943073,126.5587584,1881.4,17119,965809,대부,5,0,2,0,1,0,57,1,62,1,68,1,190,63
101,해제동초등학교,전라남도 무안군 해제면 유월리 561,35.1130643,126.3177624,1745.86,13652,1173686,미활용,50,2,8,4,2,8,111,94,102,112,88,88,595,11
102,일로초지감분교장,전라남도 무안군 일로읍 감돈리 299,34.8696185,126.475232,709,9232,30533,미활용,47,4,16,4,3,5,108,112,111,112,102,72,617,10
103,성남초등학교,전라남도 함평군 함평읍 성남리 215,35.0382357,126.4885273,923,16394,582170,대부,4,0,2,0,4,2,50,1,62,1,107,32,253,56
104,대동향교초동암분교장,전라남도 함평군 대동면 월송리 424,35.0845862,126.5606357,933.2,13310,734164,대부,11,0,3,0,1,4,78,1,77,1,68,62,287,52
105,손불초용암분교장,전라남도 함평군 손불면 죽암리 709,35.1310491,126.4742833,1446.2,15927,189482,미활용,2,1,1,0,2,2,36,73,47,1,88,32,277,55
106,대동향교초대신분교장,전라남도 함평군 대동면 금산리 422-7,35.1236302,126.4944232,894,16229,168866,미활용,3,1,1,0,2,4,47,73,47,1,88,62,318,46
